,Role,decision,mean,median,std,min,max
0,ai engineer,reject,593.2,583.0,18.294808006644953,578,616
1,ai engineer,select,688.625,712.0,208.53977866516087,380,977
2,business analyst,reject,635.8,603.0,107.89902687234951,540,818
3,business analyst,select,721.8333333333334,722.5,55.718638413610456,649,813
4,cloud architect,reject,615.5,646.5,79.74333827975853,499,670
5,cloud architect,select,827.0,819.5,24.8327740429189,807,862
6,content writer,reject,558.3333333333334,560.0,71.51456728061306,486,629
7,content writer,select,709.5,709.5,36.062445840513924,684,735
8,cybersecurity specialist,reject,659.6666666666666,630.0,128.57008464906085,552,897
9,cybersecurity specialist,select,723.6666666666666,688.0,82.50050504895914,665,818
10,data analyst,reject,685.5187969924812,693.0,104.76464253656633,373,896
11,data analyst,select,775.0078125,761.0,111.64316722880069,563,1212
12,data engineer,reject,650.1412213740458,639.0,114.32781687722601,428,1101
13,data engineer,select,753.464135021097,767.0,130.51892753750707,438,1139
14,data scientist,reject,662.8532423208192,660.0,112.09149102865359,272,1006
15,data scientist,select,747.7447552447552,745.5,136.23749087444483,85,1250
16,database administrator,reject,579.3333333333334,596.0,73.43250869562698,499,643
17,database administrator,select,756.1666666666666,761.5,92.35023912620187,598,848
18,devops engineer,reject,626.0,637.0,57.75811631277462,546,684
19,devops engineer,select,723.0,727.0,52.6929355278813,635,821
20,digital marketing specialist,reject,663.8,654.0,44.589236369330216,604,723
21,digital marketing specialist,select,727.4444444444445,715.0,71.68526890357445,631,812
22,game developer,reject,466.3333333333333,562.0,185.97401252146315,252,585
23,game developer,select,461.57142857142856,322.0,321.42539680971964,68,871
24,graphic designer,reject,566.25,558.0,62.38990302925627,492,656
25,graphic designer,select,709.7142857142857,700.0,63.075917976446675,606,798
26,hr specialist,reject,684.8333333333334,672.5,67.98063449738217,604,798
27,hr specialist,select,773.1666666666666,751.5,95.1912110788946,682,927
28,machine learning engineer,reject,680.0,644.5,100.35736146392051,581,828
29,machine learning engineer,select,849.7142857142857,871.0,78.03357030943859,719,932
30,mobile app developer,reject,654.75,642.0,84.40132305440083,580,755
31,mobile app developer,select,679.0,676.0,9.848857801796104,671,690
32,network engineer,reject,580.3333333333334,549.0,98.29801625668748,505,819
33,network engineer,select,794.5714285714286,823.0,59.66254308709149,696,852
34,product manager,reject,639.6653696498055,629.0,108.51676177032157,349,923
35,product manager,select,759.9036144578313,782.0,132.14391724901787,449,1190
36,project manager,reject,725.7083333333334,702.5,95.72082557769424,550,985
37,project manager,select,764.21875,763.5,84.98680519028595,585,925
38,software developer,reject,709.2564102564103,719.0,133.18205149120587,71,963
39,software developer,select,721.3333333333334,718.0,89.22228076335743,565,899
40,software engineer,reject,636.2771535580524,633.0,148.4875313192352,64,894
41,software engineer,select,741.9924528301887,739.0,149.03922080031106,132,1254
42,system administrator,reject,584.6666666666666,600.0,52.70041113059114,526,628
43,system administrator,select,790.5,790.5,19.091883092036785,777,804
44,ui / ux designer,reject,522.0,533.0,70.14983962918234,447,586
45,ui / ux designer,select,781.25,771.5,52.130445359054164,729,853
46,ui designer,reject,716.2735042735043,732.0,120.937546145879,391,1000
47,ui designer,select,779.3669724770642,775.0,111.80693185216057,525,1143
48,ui engineer,reject,588.55,579.5,105.03300782998137,243,889
49,ui engineer,select,710.4388489208633,706.0,167.8564394860273,408,1211
